Tag,Precision,Recall,F1-score,Support
Artifacts,0.625,0.3571,0.4545,14
Count,0.75,0.6,0.6667,5
Day,1.0,1.0,1.0,3
Entertainment,0.7143,0.625,0.6667,8
Facilities,0.0,0.0,0.0,0
Location,0.5965,0.7907,0.68,43
Materials,0.6889,0.8611,0.7654,36
Money,0.7143,1.0,0.8333,5
Organisms,0.8122,0.8889,0.8488,180
Period,0.6667,0.6667,0.6667,3
Person,0.8092,0.8187,0.814,171
Plants,0.5,0.0714,0.125,14
Year,1.0,1.0,1.0,1

TOTAL (micro),0.7662,0.8075,0.7863,-
