Tag,Precision,Recall,F1-score,Support
Artifacts,0.7778,0.5,0.6087,14
Count,1.0,0.2,0.3333,5
Day,0.6,1.0,0.75,3
Entertainment,1.0,0.875,0.9333,8
Facilities,0.0,0.0,0.0,0
Location,0.5862,0.7556,0.6602,45
Materials,0.6111,0.9167,0.7333,36
Money,0.8333,1.0,0.9091,5
Organisms,0.8308,0.9,0.864,180
Period,1.0,0.6667,0.8,3
Person,0.7892,0.8488,0.8179,172
Plants,0.6667,0.1429,0.2353,14
Year,1.0,1.0,1.0,1

TOTAL (micro),0.7647,0.8292,0.7957,-
