Tag,Precision,Recall,F1-score,Support
Artifacts,0.625,0.3571,0.4545,14
Count,0.75,0.6,0.6667,5
Day,0.6,1.0,0.75,3
Entertainment,0.8571,0.75,0.8,8
Location,0.5862,0.8095,0.68,42
Materials,0.6512,0.7778,0.7089,36
Money,0.7143,1.0,0.8333,5
Organisms,0.7778,0.8944,0.832,180
Period,1.0,0.6667,0.8,3
Person,0.7784,0.7965,0.7874,172
Plants,0.5,0.0714,0.125,14
Year,1.0,1.0,1.0,1

TOTAL (micro),0.7423,0.7992,0.7697,-
