Tag,Precision,Recall,F1-score,Support
Artifacts,0.3333,0.2308,0.2727,13
Count,0.1818,0.2857,0.2222,7
Day,0.0,0.0,0.0,2
Entertainment,0.7273,0.6154,0.6667,13
Facilities,0.0,0.0,0.0,1
Location,0.4516,0.56,0.5,25
Materials,0.6154,0.5,0.5517,16
Money,0.6667,1.0,0.8,2
Organisms,0.4444,0.3636,0.4,11
Organization,0.6667,1.0,0.8,2
Period,0.25,0.5,0.3333,2
Person,0.7297,0.8182,0.7714,66

TOTAL (micro),0.5799,0.6125,0.5957,-
