Tag,Precision,Recall,F1-score,Support
Artifacts,0.5,0.2,0.2857,5
Entertainment,0.0,0.0,0.0,3
Location,0.75,0.6,0.6667,5
Materials,0.5,0.3333,0.4,3
Organisms,0.8714,0.8971,0.8841,68
Person,0.75,0.8182,0.7826,22
Plants,0.0,0.0,0.0,3

TOTAL (micro),0.8235,0.7706,0.7962,-
