Tag,Precision,Recall,F1-score,Support
Artifacts,1.0,0.2,0.3333,5
Entertainment,1.0,0.3333,0.5,3
Location,0.4286,0.6,0.5,5
Materials,1.0,0.3333,0.5,3
Organisms,0.8636,0.8382,0.8507,68
Person,0.68,0.7727,0.7234,22
Plants,0.0,0.0,0.0,3

TOTAL (micro),0.7921,0.7339,0.7619,-
